X,Y,FID,OBJECTID,ID,INV_MOVIMI,F35DOV_TIP,TIPO,SUBTIPO_MO,SUBTIPO,CLAS_MAPA,ETIQUETA_M,ESRI_OID
-8165451.9382,559544.531500001,5070,-7.58397098089e+56,11566,34587,72,Reptación,8,Reptacion de suelos,Reptación,lr,5998
-8166536.994,598603.761799999,5071,-7.58397098089e+56,11569,34588,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6000
-8164516.8544,559771.442600001,5072,-7.58397098089e+56,11568,34589,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5999
-8162835.9301,559677.698199999,5073,-7.58397098089e+56,11570,34590,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6001
-8163904.288,559977.246399999,5074,-7.58397098089e+56,11572,34591,67,Caida,23,Caida de Tierras,Caida,ct,6002
-8161510.9189,554247.861499999,5075,-7.58397098089e+56,11573,34592,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6003
-8157971.2684,553294.973299999,5076,-7.58397098089e+56,11574,34593,72,Reptación,8,Reptacion de suelos,Reptación,lr,6004
-8152922.0017,545445.751800001,5077,-7.58397098089e+56,11575,34594,72,Reptación,8,Reptacion de suelos,Reptación,lr,6005
-8165229.2992,553319.493799999,5078,-7.58397098089e+56,11577,34595,67,Caida,20,Caida de detritos,Caida,cd,6007
-8153585.2804,564685.127700001,5079,-7.58397098089e+56,11578,34598,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6008
-8164097.2417,581073.5469,5080,-7.58397098089e+56,11576,34597,71,Flujo,6,Flujo de lodo,Flujo,fl,6006
-8165083.6561,581368.5273,5081,-7.58397098089e+56,11581,34599,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6009
-8166744.1719,580340.759,5082,-7.58397098089e+56,11582,34600,71,Flujo,6,Flujo de lodo,Flujo,fl,6010
-8151792.4182,560225.267099999,5083,-7.58397098089e+56,11583,34601,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6011
-8161926.5117,583017.334899999,5084,-7.58397098089e+56,11585,34602,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6012
-8163002.6001,582442.8871,5085,-7.58397098089e+56,11586,34603,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6013
-8163008.7846,582256.580699999,5086,-7.58397098089e+56,11588,34604,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6014
-8160119.1161,550206.396400001,5087,-7.58397098089e+56,11589,34605,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6015
-8162739.7625,582172.743,5088,-7.58397098089e+56,11591,34606,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6016
-8160865.5751,552187.527800001,5089,-7.58397098089e+56,11592,34607,72,Reptación,8,Reptacion de suelos,Reptación,lr,6017
-8163058.5691,546977.355599999,5090,-7.58397098089e+56,11593,34608,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6018
-8158338.0042,555491.600900002,5091,-7.58397098089e+56,11594,34609,67,Caida,15,Caida de roca,Caida,cr,6019
-8156602.0387,553463.512499999,5092,-7.58397098089e+56,11595,34610,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6020
-8162212.541,554503.933,5093,-7.58397098089e+56,11596,34611,67,Caida,15,Caida de roca,Caida,cr,6021
-8163224.9299,557273.906599998,5094,-7.58397098089e+56,11597,34612,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6022
-8163725.8676,557256.2137,5095,-7.58397098089e+56,11599,34613,67,Caida,20,Caida de detritos,Caida,cd,6023
-8174654.0402,596644.007,5096,-7.58397098089e+56,11600,34614,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6024
-8176713.4508,570827.626899999,5097,-7.58397098089e+56,11602,34615,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6025
-8174459.2311,568446.438,5098,-7.58397098089e+56,11604,34616,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6026
-8183724.2296,566391.188,5099,-7.58397098089e+56,11605,34617,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6027
-8179230.5081,568427.811099999,5100,-7.58397098089e+56,11606,34618,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6028
-8177191.4008,569672.655900002,5101,-7.58397098089e+56,11607,34619,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6029
-8176317.6481,565699.010600001,5102,-7.58397098089e+56,11608,34620,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6030
-8177006.5921,593253.546399999,5103,-7.58397098089e+56,11609,34621,67,Caida,15,Caida de roca,Caida,cr,6031
-8178231.1065,598746.6305,5104,-7.58397098089e+56,11611,34622,67,Caida,20,Caida de detritos,Caida,cd,6032
-8176639.547,600179.9921,5105,-7.58397098089e+56,11612,34623,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6033
-8171195.7146,579748.324299999,5106,-7.58397098089e+56,11614,34624,67,Caida,15,Caida de roca,Caida,cr,6034
-8162987.6226,580646.344900001,5107,-7.58397098089e+56,11615,34625,67,Caida,20,Caida de detritos,Caida,cd,6035
-8161989.2835,583321.9494,5108,-7.58397098089e+56,11616,34626,72,Reptación,8,Reptacion de suelos,Reptación,lr,6036
-8183460.6488,558931.781800002,5109,-7.58397098089e+56,11623,34627,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6041
-8603295.9239,153326.1327,5110,-7.58397098089e+56,11617,34628,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6037
-8602605.1246,152711.224800002,5111,-7.58397098089e+56,11618,34629,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6038
-8602878.6613,151069.1679,5112,-7.58397098089e+56,11621,34630,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6039
-8581248.7895,179507.6952,5113,-7.58397098089e+56,11622,34631,67,Caida,15,Caida de roca,Caida,cr,6040
-8183460.6488,558931.781800002,5114,-7.58397098089e+56,11624,34632,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,6042
-8161288.5892,591317.2359,5115,-7.58397098089e+56,11625,34633,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6043
-8182137.493,557872.053399999,5116,-7.58397098089e+56,11626,34634,72,Reptación,8,Reptacion de suelos,Reptación,lr,6044
-8160141.9985,590569.434,5117,-7.58397098089e+56,11627,34635,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6045
-8159307.1023,586721.238899998,5118,-7.58397098089e+56,11629,34636,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6046
-8162446.0027,601394.4133,5119,-7.58397098089e+56,11630,34637,72,Reptación,8,Reptacion de suelos,Reptación,lr,6047
-8162712.8602,599841.1384,5120,-7.58397098089e+56,11631,34638,72,Reptación,8,Reptacion de suelos,Reptación,lr,6048
-8162446.0027,596206.4087,5121,-7.58397098089e+56,11634,34639,72,Reptación,8,Reptacion de suelos,Reptación,lr,6049
-8171425.775,551870.319699999,5122,-7.58397098089e+56,11635,34640,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6050
